modules,__main__,pandas,pandas._config,pandas._libs,pandas._libs.hashtable,pandas._libs.lib,pandas._libs.tslib,pandas._version,pandas.api,pandas.arrays,pandas.compat,pandas.core,pandas.core.api,pandas.core.arrays,pandas.core.arrays.sparse,pandas.core.computation,pandas.core.computation.api,pandas.core.config_init,pandas.core.reshape,pandas.core.reshape.api,pandas.errors,pandas.io,pandas.io.api,pandas.io.json,pandas.io.json._normalize,pandas.plotting,pandas.testing,pandas.tseries,pandas.tseries.api,pandas.tseries.offsets,pandas.util,pandas.util._print_versions,pandas.util._tester
__main__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pandas,0.01903220706192095,0.027739181343731323,0.019391305308372287,0.019391305308372294,0.0,0.0,0.0,0.0,0.01939130530837229,0.019398211043880967,0.01939130530837229,0.0,0.02084828520380729,0.019764215025840987,0.01976421502584099,0.0,0.019032207061920953,0.020116407536783645,0.0,0.01903220706192095,0.020109501801274958,0.01976421502584098,0.01976421502584098,0.019764215025840977,0.01975040355482363,0.01939130530837229,0.019032207061920953,0.019757178993435914,0.019757178993435917,0.019391305308372294,0.01939130530837229,0.019391305308372294,0.019391305308372294
pandas._config,0.000372398181505092,0.02010950180127497,0.019247349090590227,0.00037942456228820694,0.0,0.0,0.0,0.0,0.0003794245622882068,0.0003795596849955744,0.0003794245622882068,0.0,0.0004079329040577248,0.0003867211884860569,0.000386721188486057,0.0,0.0003723981815050918,0.01926153697486369,0.0,0.0003723981815050918,0.019261401852156315,0.0003867211884860569,0.0003867211884860568,0.00038672118848605687,0.000386450943071322,0.0003794245622882068,0.00037239818150509185,0.00038658351629364463,0.0003865835162936447,0.00037942456228820694,0.0003794245622882069,0.0003794245622882069,0.0003794245622882069
pandas._libs,0.00038607452981508365,0.020848024610014518,0.0003933589549059342,0.01926128348320799,0.0,0.0,0.0,0.0,0.0003933589549059342,0.0003934990400038352,0.00039335895490593423,0.0,0.019646837371755564,0.0004009235501925867,0.00040092355019258677,0.0,0.00038607452981508355,0.00040806789018553647,0.0,0.0003860745298150836,0.019275852333389513,0.00040092355019258677,0.0004009235501925867,0.00040092355019258677,0.019268567908298676,0.0003933589549059343,0.0003860745298150836,0.000756779397985327,0.0007567793979853272,0.019261283483207825,0.0003933589549059343,0.0003933589549059343,0.0003933589549059343
pandas._libs.hashtable,0.0003524482789244621,0.019032207061920953,0.0003590982464513386,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044224016,0.0003590982464513387,0.0,0.0003860793556260609,0.0003660039819600183,0.00036600398196001834,0.0,0.00035244827892446203,0.0003725260654959933,0.0,0.0003524482789244621,0.0003723981815050919,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.00036574821397821524,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.0003590982464513386,0.0003590982464513387,0.0003590982464513387,0.00035909824645133864
pandas._libs.lib,0.0003524482789244621,0.019032207061920953,0.0003590982464513386,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044224016,0.0003590982464513387,0.0,0.0003860793556260609,0.0003660039819600183,0.00036600398196001834,0.0,0.00035244827892446203,0.0003725260654959933,0.0,0.0003524482789244621,0.0003723981815050919,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.00036574821397821524,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.0003590982464513386,0.0003590982464513387,0.0003590982464513387,0.00035909824645133864
pandas._libs.tslib,0.0003524482789244621,0.019032207061920953,0.0003590982464513386,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044224016,0.0003590982464513387,0.0,0.0003860793556260609,0.0003660039819600183,0.00036600398196001834,0.0,0.00035244827892446203,0.0003725260654959933,0.0,0.0003524482789244621,0.0003723981815050919,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.00036574821397821524,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.0003590982464513386,0.0003590982464513387,0.0003590982464513387,0.00035909824645133864
pandas._version,0.00035897509890454486,0.019384655340845422,0.0003657482139782152,0.0003657482139782154,0.0,0.0,0.0,0.0,0.0003657482139782153,0.0003658784661911705,0.00036574821397821535,0.0,0.00039322897332283983,0.00037278183347779636,0.0003727818334777964,0.0,0.0003589750989045447,0.00037942469633851165,0.0,0.0003589750989045447,0.00037929444412555655,0.00037278183347779636,0.00037278183347779636,0.0003727818334777964,0.0003725213290518859,0.00036574821397821535,0.0003589750989045447,0.00037264912367591745,0.00037264912367591756,0.00036574821397821524,0.00036574821397821535,0.01888426673249673,0.0003657482139782153
pandas.api,0.00035909824645133864,0.019391305308372287,0.00036587368506362807,0.00036587368506362807,0.0,0.0,0.0,0.0,0.01923379821336546,0.00036600398196001823,0.000365873685063628,0.0,0.0003933638717699489,0.0003729097174686978,0.00037290971746869783,0.0,0.0003590982464513387,0.000379554859184597,0.0,0.0003590982464513387,0.00037942456228820683,0.00037290971746869783,0.00037290971746869783,0.00037290971746869783,0.00037264912367591756,0.00036587368506362796,0.00035909824645133864,0.00037277696214030017,0.0003727769621403003,0.0003658736850636281,0.0003658736850636281,0.0003658736850636281,0.0003658736850636281
pandas.arrays,0.0003524482789244621,0.019032207061920953,0.00035909824645133853,0.00035909824645133864,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044214735,0.00035909824645133864,0.0,0.0003860793556260609,0.00036600398196001823,0.0003660039819600183,0.0,0.000352448278924462,0.0003725260654959933,0.0,0.00035244827892446203,0.00037239818150509185,0.0003660039819600182,0.00036600398196001823,0.00036600398196001823,0.00036574821397821524,0.00035909824645133864,0.000352448278924462,0.000365873685063628,0.0003658736850636281,0.0003590982464513386,0.00035909824645133864,0.00035909824645133864,0.0003590982464513386
pandas.compat,0.0003723981815050919,0.020109501801274965,0.000379424562288207,0.00037942456228820716,0.0,0.0,0.0,0.0,0.0003794245622882068,0.0003795596849955744,0.019247349090590005,0.0,0.0004079329040577248,0.000386721188486057,0.00038672118848605703,0.0,0.0003723981815050919,0.0003936124465618044,0.0,0.0003723981815050919,0.0003934773238544367,0.00038672118848605703,0.0003867211884860569,0.000386721188486057,0.000386450943071322,0.0003794245622882068,0.00037239818150509185,0.0003865835162936446,0.0003865835162936447,0.000379424562288207,0.00037942456228820694,0.0192473490905901,0.0192473490905901
pandas.core,0.00040578537601859157,0.021912410305003946,0.0004134417038679989,0.00041344170386799906,0.0,0.0,0.0,0.0,0.0004134417038679989,0.019288232815585896,0.00041344170386799884,0.0,0.01931914982307358,0.01965216173663469,0.01965216173663469,0.0,0.018924303894537104,0.01894742011515936,0.0,0.018924303894537104,0.0007781603693501819,0.0004213925058654605,0.00042139250586546045,0.00042139250586546045,0.0007705040415007747,0.00041344170386799895,0.00040578537601859146,0.0004212424907334328,0.0004212424907334328,0.0004134417038679989,0.01928136623216988,0.00041344170386799895,0.00041344170386799895
pandas.core.api,0.00035244827892446203,0.01903220706192095,0.00035909824645133853,0.00035909824645133864,0.0,0.0,0.0,0.0,0.0003590982464513386,0.00035922613044223994,0.0003590982464513384,0.0,0.0003860793556258457,0.0003660039819600183,0.00036600398196001834,0.0,0.00035244827892446203,0.00037252606549599337,0.0,0.0003524482789244621,0.00037239818150509185,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.0003657482139782153,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.00035909824645133864,0.0003590982464513387,0.0003590982464513387,0.00035909824645133864
pandas.core.arrays,0.0003793086534578792,0.020482667286725476,0.0003864654205042541,0.00038646542050425393,0.0,0.0,0.0,0.0,0.0003864654205042538,0.019261246925283637,0.00038646542050425415,0.0,0.01929014665694514,0.019624666678590863,0.019624666678590873,0.0,0.0003793086534578791,0.00040091658473251146,0.0,0.00037930865345787903,0.0004007789545970041,0.0003938974478216436,0.0003938974478216435,0.0003938974478216435,0.0003936221875506292,0.00038646542050425415,0.00037930865345787903,0.0003937572208911268,0.00039375722089112685,0.0003864654205042541,0.00038646542050425415,0.0003864654205042542,0.00038646542050425415
pandas.core.arrays.sparse,0.00036625501349771375,0.019777770728876543,0.0003731654854505008,0.0003731654854505007,0.0,0.0,0.0,0.0,0.00037316548545050055,0.0007294237352672568,0.00037316548545050055,0.0,0.0007573289030330647,0.019611110975555318,0.019611110975555235,0.0,0.00036625501349771375,0.0003871193230474746,0.0,0.00036625501349771375,0.0003869864293560749,0.0003803417447860872,0.00038034174478608726,0.00038034174478608726,0.00038007595740328795,0.0003731654854505007,0.00036625501349771364,0.0003802063436665478,0.0003802063436665479,0.00037316548545050093,0.0003731654854505007,0.00037316548545050093,0.00037316548545050093
pandas.core.computation,0.0003655019188846275,0.019737103619769887,0.000372398181505092,0.0003723981815050923,0.0,0.0,0.0,0.0,0.0003723981815050917,0.0003725308019401008,0.00037239818150509196,0.0,0.0004003785910196188,0.0003795596849955745,0.0003795596849955745,0.0,0.018884020437403143,0.01890484184569955,0.0,0.0003655019188846273,0.0003861907067460212,0.00037955968499557444,0.00037955968499557444,0.0003795596849955745,0.00037929444412555677,0.00037239818150509196,0.0003655019188846272,0.0003794245622882068,0.0003794245622882069,0.00037239818150509206,0.00037239818150509196,0.00037239818150509206,0.00037239818150509206
pandas.core.computation.api,0.000352448278924462,0.019032207061920946,0.0003590982464513386,0.00035909824645133864,0.0,0.0,0.0,0.0,0.0003590982464513386,0.00035922613044224005,0.00035909824645133853,0.0,0.00038607935562606083,0.00036600398196001823,0.0003660039819600182,0.0,0.0003524482789243333,0.00037252606549599337,0.0,0.0003524482789244621,0.0003723981815050919,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.0003657482139782153,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.00035909824645133864,0.0003590982464513387,0.00035909824645133874,0.0003590982464513387
pandas.core.config_init,0.00035244827892446203,0.01903220706192095,0.0003590982464513387,0.00035909824645133874,0.0,0.0,0.0,0.0,0.0003590982464513387,0.00035922613044224016,0.00035909824645133864,0.0,0.0003860793556260609,0.0003660039819600183,0.0003660039819600183,0.0,0.0003524482789244621,0.0003725260654960927,0.0,0.00035244827892446214,0.00037239818150509196,0.0003660039819600183,0.00036600398196001834,0.00036600398196001834,0.00036574821397821524,0.00035909824645133874,0.0003524482789244621,0.0003658736850636281,0.00036587368506362823,0.0003590982464513386,0.00035909824645133874,0.0003590982464513387,0.00035909824645133864
pandas.core.reshape,0.00035897509890454486,0.019384655340845422,0.0003657482139782152,0.00036574821397821535,0.0,0.0,0.0,0.0,0.00036574821397821535,0.00036587846619117066,0.00036574821397821546,0.0,0.00039322897332283983,0.0003727818334777964,0.00037278183347779663,0.0,0.0003589750989045447,0.0003794246963385117,0.0,0.018877493617423066,0.0003792944441255565,0.00037278183347779636,0.0003727818334777964,0.00037278183347779636,0.00037252132905188595,0.0003657482139782154,0.0003589750989045447,0.00037264912367591745,0.0003726491236759175,0.00036574821397821524,0.0003657482139782154,0.00036574821397821535,0.0003657482139782153
