Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,file
tech.tablesaw.io.saw,SawReader,391.0,286.0,18.0,1.0,0.7526881720430109,0.0,'tablesaw/saw/src/main/java/tech/tablesaw/io/saw/SawReader.java'
tech.tablesaw.columns,ColumnFormatter,0.0,0.0,1.0,1.0,-0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/ColumnFormatter.java'
tech.tablesaw.columns.datetimes,DateTimeColumnFormatter,0.0,0.0,1.0,1.0,0.25,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/datetimes/DateTimeColumnFormatter.java'
tech.tablesaw.columns.numbers,IntParser,9.0,3.0,3.0,1.0,0.4,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/IntParser.java'
tech.tablesaw.columns.numbers,Stats,137.0,103.0,2.0,1.0,0.8809523809523809,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/Stats.java'
tech.tablesaw.columns.numbers,LongParser,9.0,3.0,3.0,1.0,0.4,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/LongParser.java'
tech.tablesaw.columns.numbers,NumberInterpolator,0.0,0.0,1.0,1.0,-0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/NumberInterpolator.java'
tech.tablesaw.io,TypeUtils,0.0,0.0,1.0,1.0,0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/TypeUtils.java'
tech.tablesaw.io,ColumnTypeDetector,18.0,15.0,5.0,1.0,1.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/ColumnTypeDetector.java'
tech.tablesaw.io,TableBuildingUtils,0.0,0.0,1.0,1.0,0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/TableBuildingUtils.java'
tech.tablesaw.io,AddCellToColumnException,5.0,0.0,1.0,1.0,0.72,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/AddCellToColumnException.java'
tech.tablesaw.io,RuntimeIOException,0.0,0.0,1.0,1.0,0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/RuntimeIOException.java'
tech.tablesaw.io,Destination,1.0,0.0,1.0,1.0,0.2,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/Destination.java'
tech.tablesaw.io,WriteOptions,0.0,0.0,3.0,3.0,0.8,0.0,'tablesaw/core/src/main/java/tech/tablesaw/io/WriteOptions.java'
tech.tablesaw.columns,AbstractColumnType,5.0,0.0,1.0,1.0,0.4444444444444445,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/AbstractColumnType.java'
tech.tablesaw.columns.strings,ShortDictionaryMap,950.0,574.0,15.0,7.0,0.9237472766884532,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/ShortDictionaryMap.java'
tech.tablesaw.columns.strings,StringColumnFormatter,0.0,0.0,1.0,1.0,-0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/StringColumnFormatter.java'
tech.tablesaw.joining,DataFrameJoiner,30.0,5.0,1.0,1.0,0.7555555555555555,0.0,'tablesaw/core/src/main/java/tech/tablesaw/joining/DataFrameJoiner.java'
tech.tablesaw.columns.strings,NoKeysAvailableException,0.0,0.0,1.0,1.0,0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/NoKeysAvailableException.java'
tech.tablesaw.interpolation,Interpolator,0.0,0.0,1.0,1.0,-0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/interpolation/Interpolator.java'
tech.tablesaw.joining,ColumnIndexPair,0.0,0.0,1.0,1.0,-0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/joining/ColumnIndexPair.java'
tech.tablesaw.columns.strings,StringPredicates,0.0,0.0,1.0,1.0,0.0,0.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/strings/StringPredicates.java'
