Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
tablesaw,tech.tablesaw.examples,AbstractExample,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.examples,Example1,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,CrossTabsExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,TextExample,1.0,0.0,2.0,1.0,1.5,0.0
tablesaw,tech.tablesaw.examples,OperationsExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.examples,BusStopExample,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,AxisTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,GridTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,TemplateUtilsTest,2.0,1.0,2.0,1.0,0.8333333333333334,0.0
tablesaw,tech.tablesaw.components,HoverLabelTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,MarkerTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.components,AnnotationTest,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.components,LayoutTest,3.0,0.0,3.0,3.0,1.0,1.0
tablesaw,tech.tablesaw.plotly,HistogramTraceTest,0.0,0.0,1.0,1.0,0.5,0.0
tablesaw,tech.tablesaw.plotly,BoxTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,PageTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,ViolinTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,ContourTest,2.0,1.0,2.0,2.0,0.5,0.6666666666666666
tablesaw,tech.tablesaw.plotly,PlotTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,OhlcTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,PieTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,BubbleTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,UtilsTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,TimeSeriesTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly,BarTest,0.0,0.0,1.0,1.0,-0.0,0.0
tablesaw,tech.tablesaw.plotly,Scatter3DTest,4.0,0.0,2.0,2.0,0.3125,0.4
tablesaw,tech.tablesaw.plotly,ScatterTest,0.0,0.0,1.0,1.0,0.4,0.0
tablesaw,tech.tablesaw.plotly,Plot,28.0,0.0,8.0,2.0,0.9642857142857143,0.0
tablesaw,tech.tablesaw.plotly,Utils,15.0,0.0,6.0,5.0,0.0,0.8333333333333334
tablesaw,tech.tablesaw.plotly.components,ConfigTest,0.0,0.0,1.0,1.0,0.0,0.0
tablesaw,tech.tablesaw.plotly.components,FigureTest,0.0,0.0,1.0,1.0,0.125,0.0
tablesaw,tech.tablesaw.plotly.components,ChangeTest,1.0,0.0,2.0,2.0,0.0,1.0
tablesaw,tech.tablesaw.plotly.components,Annotation,1576.0,1441.0,51.0,51.0,0.9942528735632183,0.1016949152542373
tablesaw,tech.tablesaw.plotly.components,AnnotationBuilder,946.0,946.0,44.0,44.0,1.0,1.0
tablesaw,tech.tablesaw.plotly.components,TickSettings,611.0,519.0,27.0,27.0,0.9798622151563329,0.13157894736842105
tablesaw,tech.tablesaw.plotly.components,TickSettingsBuilder,298.0,296.0,23.0,23.0,0.996376811594203,0.92
tablesaw,tech.tablesaw.plotly.components,Axis,1856.0,1567.0,53.0,53.0,0.9915632754342432,0.13636363636363635
tablesaw,tech.tablesaw.plotly.components,AxisBuilder,487.0,478.0,27.0,27.0,0.9922135706340378,0.84375
